"Table 3133: Train punctuality at recorded station stops by operator, Great Britain, quarterly data, April 2014 to September 2025",,,,,,,,,
This worksheet contains one table.,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [p] = provisional data",,,,,,,,,
Time period,National or Operator,"Number of recorded
station stops",Trains arriving within 59 seconds (percentage),"Trains arriving within 3 minutes 
(percentage)",Trains arriving within 15 minutes (percentage),"Moving annual total number of recorded
station stops",Moving annual average of trains arriving within 59 seconds  (percentage),Moving annual average of trains arriving within 3 minutes (percentage),Moving annual average of trains arriving within 15 minutes (percentage)
Apr to Jun 2025 [p],ScotRail,"2,187,930",73.2,90.9,99.5,"7,951,422",69.5,88.9,99.4
Jul to Sep 2025 [p],ScotRail,"2,183,341",69.8,88.8,99.2,"8,432,835",69.4,88.8,99.3
Apr to Jun 2014,South Western Railway,"1,440,023",74.7,90.8,99.1,"5,644,584",70.0,87.6,98.7
Jul to Sep 2014,South Western Railway,"1,455,746",73.1,89.8,98.9,"5,642,862",69.5,87.3,98.6
Oct to Dec 2014,South Western Railway,"1,398,094",63.3,83.4,98.7,"5,669,037",69.5,87.4,98.7
Jan to Mar 2015,South Western Railway,"1,370,764",69.6,87.4,99.0,"5,664,627",70.3,87.9,98.9
Apr to Jun 2015,South Western Railway,"1,435,718",75.3,91.0,99.3,"5,660,322",70.4,87.9,99.0
Jul to Sep 2015,South Western Railway,"1,453,776",72.8,89.6,98.9,"5,658,352",70.3,87.9,99.0
Oct to Dec 2015,South Western Railway,"1,417,676",63.0,83.1,98.8,"5,677,934",70.2,87.8,99.0
Jan to Mar 2016,South Western Railway,"1,387,868",66.6,86.1,98.7,"5,695,038",69.5,87.4,98.9
Apr to Jun 2016,South Western Railway,"1,435,747",70.4,88.1,98.7,"5,695,068",68.3,86.7,98.8
Jul to Sep 2016,South Western Railway,"1,465,186",66.0,85.4,98.4,"5,706,477",66.5,85.7,98.7
Oct to Dec 2016,South Western Railway,"1,475,759",57.5,78.8,98.1,"5,764,560",65.1,84.5,98.5
Jan to Mar 2017,South Western Railway,"1,473,287",65.3,84.8,98.6,"5,849,979",64.8,84.2,98.4
Apr to Jun 2017,South Western Railway,"1,549,508",70.9,87.8,98.6,"5,963,739",65.0,84.2,98.4
Jul to Sep 2017,South Western Railway,"1,597,314",62.9,81.7,97.5,"6,095,868",64.2,83.3,98.2
Oct to Dec 2017,South Western Railway,"1,720,237",59.5,80.8,98.4,"6,340,346",64.5,83.7,98.3
Jan to Mar 2018,South Western Railway,"1,671,417",60.4,80.4,97.8,"6,538,476",63.3,82.6,98.1
Apr to Jun 2018,South Western Railway,"1,828,822",66.5,85.6,98.8,"6,817,790",62.4,82.2,98.2
Jul to Sep 2018,South Western Railway,"1,771,485",57.3,78.6,97.7,"6,991,961",61.0,81.4,98.2
Oct to Dec 2018,South Western Railway,"1,666,815",52.1,73.6,97.2,"6,938,540",59.2,79.7,97.9
Jan to Mar 2019,South Western Railway,"1,782,316",63.1,82.6,98.2,"7,049,439",59.9,80.2,98.0
Apr to Jun 2019,South Western Railway,"1,809,826",66.8,85.4,98.7,"7,030,443",60.0,80.2,98.0
Jul to Sep 2019,South Western Railway,"1,861,578",59.7,79.9,97.9,"7,120,535",60.6,80.5,98.0
Oct to Dec 2019,South Western Railway,"1,549,123",51.8,73.5,97.6,"7,002,843",60.7,80.6,98.1
Jan to Mar 2020,South Western Railway,"1,661,452",60.1,80.1,98.1,"6,881,979",59.9,80.0,98.1
Apr to Jun 2020,South Western Railway,"1,147,598",90.0,96.8,99.7,"6,219,751",63.5,81.5,98.2
Jul to Sep 2020,South Western Railway,"1,554,114",81.9,94.1,99.5,"5,912,287",69.5,85.3,98.6
Oct to Dec 2020,South Western Railway,"1,597,588",75.6,91.7,99.4,"5,960,752",75.7,90.1,99.1
Jan to Mar 2021,South Western Railway,"1,413,325",83.6,94.8,99.5,"5,712,625",82.2,94.1,99.5
Apr to Jun 2021,South Western Railway,"1,610,502",80.0,92.8,99.1,"6,175,529",80.2,93.3,99.4
Jul to Sep 2021,South Western Railway,"1,753,474",76.1,91.2,99.1,"6,374,890",78.6,92.5,99.3
Oct to Dec 2021,South Western Railway,"1,692,175",68.6,87.4,98.9,"6,469,477",76.7,91.4,99.1
Jan to Mar 2022,South Western Railway,"1,570,149",74.1,90.5,99.0,"6,626,300",74.6,90.5,99.0
Apr to Jun 2022,South Western Railway,"1,676,468",73.5,89.6,99.0,"6,692,266",73.1,89.7,99.0
Jul to Sep 2022,South Western Railway,"1,715,425",69.7,87.5,98.5,"6,654,216",71.4,88.7,98.8
Oct to Dec 2022,South Western Railway,"1,427,171",60.1,80.7,98.1,"6,389,212",69.6,87.2,98.6
Jan to Mar 2023,South Western Railway,"1,576,278",66.6,84.8,98.3,"6,395,342",67.8,85.8,98.5
Apr to Jun 2023,South Western Railway,"1,727,060",72.9,88.9,98.6,"6,445,935",67.7,85.7,98.4
Jul to Sep 2023,South Western Railway,"1,586,211",70.1,87.6,98.9,"6,316,721",67.7,85.7,98.5
Oct to Dec 2023,South Western Railway,"1,680,301",57.8,78.8,97.8,"6,569,850",66.8,85.0,98.4
Jan to Mar 2024,South Western Railway,"1,692,110",68.8,87.0,98.7,"6,685,682",67.4,85.6,98.5
Apr to Jun 2024,South Western Railway,"1,740,538",70.6,87.8,98.6,"6,699,160",66.8,85.3,98.5
Jul to Sep 2024,South Western Railway,"1,803,105",68.8,86.2,98.5,"6,916,054",66.6,85.0,98.4
Oct to Dec 2024,South Western Railway,"1,731,989",56.2,76.7,97.3,"6,967,742",66.1,84.4,98.3
Jan to Mar 2025,South Western Railway,"1,739,571",67.0,85.8,98.7,"7,015,203",65.7,84.2,98.3
Apr to Jun 2025 [p],South Western Railway,"1,790,327",67.8,85.7,98.4,"7,064,991",65.0,83.7,98.2
Jul to Sep 2025 [p],South Western Railway,"1,776,623",65.8,84.2,98.2,"7,038,509",64.2,83.2,98.2
Apr to Jun 2014,Southeastern,"1,518,628",71.4,89.1,99.3,"6,036,027",69.1,87.3,98.8
Jul to Sep 2014,Southeastern,"1,567,401",73.2,89.8,99.1,"6,052,469",68.4,86.7,98.8
Oct to Dec 2014,Southeastern,"1,495,843",62.2,82.7,98.7,"6,072,681",68.5,86.8,99.0
Jan to Mar 2015,Southeastern,"1,455,089",72.2,89.5,99.3,"6,036,962",69.8,87.8,99.1
Apr to Jun 2015,Southeastern,"1,450,992",70.1,88.3,98.9,"5,969,326",69.4,87.6,99.0
Jul to Sep 2015,Southeastern,"1,493,018",67.2,86.6,98.8,"5,894,942",67.9,86.7,98.9
Oct to Dec 2015,Southeastern,"1,444,421",57.4,79.8,98.4,"5,843,520",66.7,86.1,98.8
Jan to Mar 2016,Southeastern,"1,411,752",62.8,82.8,98.1,"5,800,182",64.4,84.4,98.6
Apr to Jun 2016,Southeastern,"1,469,799",66.2,85.9,98.7,"5,818,989",63.5,83.8,98.5
Jul to Sep 2016,Southeastern,"1,636,728",65.7,85.1,98.3,"5,962,700",63.2,83.5,98.4
Oct to Dec 2016,Southeastern,"1,721,072",57.0,78.2,97.8,"6,239,351",62.8,82.9,98.2
Jan to Mar 2017,Southeastern,"1,830,810",64.2,83.5,97.7,"6,658,409",63.2,83.0,98.1
Apr to Jun 2017,Southeastern,"1,875,122",72.8,90.2,99.1,"7,063,733",65.1,84.4,98.2
Jul to Sep 2017,Southeastern,"1,901,145",69.2,87.9,99.0,"7,328,149",66.0,85.1,98.4
Oct to Dec 2017,Southeastern,"1,813,307",60.7,81.4,98.4,"7,420,384",66.8,85.8,98.6
Jan to Mar 2018,Southeastern,"1,837,053",63.1,82.8,98.2,"7,426,627",66.5,85.7,98.7
Apr to Jun 2018,Southeastern,"1,924,624",68.0,85.7,98.2,"7,476,128",65.3,84.5,98.5
Jul to Sep 2018,Southeastern,"1,957,879",70.1,87.6,99.0,"7,532,863",65.6,84.5,98.4
Oct to Dec 2018,Southeastern,"1,864,310",62.8,82.7,98.3,"7,583,866",66.1,84.8,98.4
Jan to Mar 2019,Southeastern,"1,856,171",67.8,85.9,98.5,"7,602,984",67.2,85.5,98.5
Apr to Jun 2019,Southeastern,"1,915,523",75.0,90.9,99.1,"7,593,884",69.0,86.8,98.7
Jul to Sep 2019,Southeastern,"1,928,055",71.6,88.9,99.1,"7,564,059",69.4,87.2,98.8
Oct to Dec 2019,Southeastern,"1,838,454",62.0,82.6,98.8,"7,538,204",69.2,87.2,98.9
Jan to Mar 2020,Southeastern,"1,794,404",67.2,85.5,98.5,"7,476,437",69.1,87.0,98.9
Apr to Jun 2020,Southeastern,"1,328,067",88.5,96.7,99.7,"6,888,981",71.2,87.8,99.0
Jul to Sep 2020,Southeastern,"1,731,381",77.6,92.2,99.3,"6,692,307",72.7,88.6,99.0
Oct to Dec 2020,Southeastern,"1,728,092",71.2,89.1,99.3,"6,581,944",75.3,90.5,99.2
Jan to Mar 2021,Southeastern,"1,522,150",78.1,92.5,99.3,"6,309,690",78.3,92.4,99.4
Apr to Jun 2021,Southeastern,"1,546,227",75.8,92.1,99.5,"6,527,849",75.6,91.4,99.4
Jul to Sep 2021,Southeastern,"1,637,666",74.3,91.1,99.2,"6,434,135",74.7,91.2,99.3
Oct to Dec 2021,Southeastern,"1,634,899",64.8,85.6,99.0,"6,340,943",73.1,90.3,99.3
Jan to Mar 2022,Southeastern,"1,614,106",71.1,89.5,99.1,"6,432,898",71.4,89.5,99.2
Apr to Jun 2022,Southeastern,"1,632,894",72.8,90.4,99.1,"6,519,565",70.8,89.1,99.1
Jul to Sep 2022,Southeastern,"1,595,763",65.4,85.6,98.6,"6,477,662",68.6,87.8,99.0
Oct to Dec 2022,Southeastern,"1,474,836",57.5,78.9,97.7,"6,317,598",66.9,86.2,98.6
Jan to Mar 2023,Southeastern,"1,563,028",64.6,83.5,98.3,"6,266,520",65.3,84.7,98.5
Apr to Jun 2023,Southeastern,"1,634,259",71.2,88.5,99.0,"6,267,886",64.9,84.2,98.4
Jul to Sep 2023,Southeastern,"1,668,286",69.7,87.6,98.9,"6,340,409",66.0,84.8,98.5
Oct to Dec 2023,Southeastern,"1,704,716",62.3,82.1,98.3,"6,570,289",67.0,85.4,98.6
Jan to Mar 2024,Southeastern,"1,727,605",67.5,85.7,98.7,"6,734,866",67.7,85.9,98.7
Apr to Jun 2024,Southeastern,"1,766,027",71.5,88.4,99.0,"6,866,633",67.8,86.0,98.7
Jul to Sep 2024,Southeastern,"1,823,004",68.5,86.1,98.7,"7,021,351",67.5,85.6,98.7
Oct to Dec 2024,Southeastern,"1,746,065",58.6,78.9,98.1,"7,062,701",66.6,84.8,98.6
Jan to Mar 2025,Southeastern,"1,801,886",65.3,84.3,98.7,"7,136,982",66.0,84.4,98.7
Apr to Jun 2025 [p],Southeastern,"1,833,030",69.9,87.3,98.9,"7,203,986",65.7,84.2,98.6
Jul to Sep 2025 [p],Southeastern,"1,871,783",67.8,85.9,98.6,"7,252,765",65.5,84.2,98.6
Apr to Jun 2014,TfW Rail,"616,413",60.5,81.6,98.8,"2,438,752",60.0,80.8,98.4
Jul to Sep 2014,TfW Rail,"620,576",58.3,79.5,98.3,"2,436,343",59.2,80.0,98.4
Oct to Dec 2014,TfW Rail,"606,775",56.1,77.7,98.4,"2,438,344",59.1,80.2,98.5
Jan to Mar 2015,TfW Rail,"606,333",65.6,85.8,99.1,"2,450,097",60.1,81.1,98.6
Apr to Jun 2015,TfW Rail,"623,837",65.0,85.5,98.8,"2,457,521",61.3,82.1,98.6
Jul to Sep 2015,TfW Rail,"638,018",61.4,82.7,98.5,"2,474,962",62.0,82.9,98.7
Oct to Dec 2015,TfW Rail,"608,812",56.7,78.4,97.9,"2,477,000",62.2,83.1,98.6
Jan to Mar 2016,TfW Rail,"606,344",63.0,83.7,98.8,"2,477,011",61.5,82.6,98.5
Apr to Jun 2016,TfW Rail,"630,357",62.4,83.7,98.9,"2,483,531",60.9,82.1,98.5
Jul to Sep 2016,TfW Rail,"635,338",59.1,80.7,98.3,"2,480,852",60.3,81.6,98.5
Oct to Dec 2016,TfW Rail,"603,741",55.1,76.1,97.9,"2,475,781",59.9,81.1,98.5
Jan to Mar 2017,TfW Rail,"611,886",65.7,85.5,98.8,"2,481,323",60.6,81.5,98.5
Apr to Jun 2017,TfW Rail,"630,532",65.4,85.2,98.8,"2,481,497",61.3,81.9,98.5
Jul to Sep 2017,TfW Rail,"640,064",63.4,83.4,98.6,"2,486,223",62.5,82.6,98.5
Oct to Dec 2017,TfW Rail,"610,221",58.6,78.8,97.8,"2,492,703",63.3,83.2,98.5
Jan to Mar 2018,TfW Rail,"596,647",68.0,86.4,98.9,"2,477,464",63.8,83.4,98.5
Apr to Jun 2018,TfW Rail,"626,906",64.3,83.7,98.5,"2,473,838",63.5,83.1,98.5
Jul to Sep 2018,TfW Rail,"634,586",61.3,80.8,98.0,"2,468,361",63.0,82.4,98.3
Oct to Dec 2018,TfW Rail,"600,800",58.1,78.1,97.9,"2,458,939",62.9,82.2,98.3
Jan to Mar 2019,TfW Rail,"618,781",67.1,85.8,98.9,"2,481,073",62.7,82.1,98.3
Apr to Jun 2019,TfW Rail,"650,576",65.0,83.8,98.4,"2,504,743",62.9,82.2,98.3
Jul to Sep 2019,TfW Rail,"653,160",57.4,77.4,97.5,"2,523,316",61.9,81.3,98.2
Oct to Dec 2019,TfW Rail,"626,050",54.0,73.3,97.1,"2,548,567",60.9,80.1,98.0
Jan to Mar 2020,TfW Rail,"693,362",65.1,81.9,98.1,"2,623,148",60.5,79.2,97.8
Apr to Jun 2020,TfW Rail,"424,472",83.6,94.6,99.4,"2,397,045",63.4,80.7,97.9
Jul to Sep 2020,TfW Rail,"580,756",79.2,91.3,98.8,"2,324,641",69.0,84.2,98.2
Oct to Dec 2020,TfW Rail,"596,298",78.4,90.8,98.8,"2,294,888",75.6,88.9,98.7
Jan to Mar 2021,TfW Rail,"545,122",82.5,92.6,99.0,"2,146,648",80.7,92.1,99.0
Apr to Jun 2021,TfW Rail,"646,003",78.2,90.5,98.6,"2,368,179",79.5,91.2,98.8
Jul to Sep 2021,TfW Rail,"664,288",70.4,85.3,98.0,"2,451,711",77.1,89.6,98.6
Oct to Dec 2021,TfW Rail,"678,091",57.1,75.9,96.4,"2,533,504",71.4,85.7,97.9
Jan to Mar 2022,TfW Rail,"686,179",63.2,81.1,98.0,"2,674,561",67.1,83.1,97.7
Apr to Jun 2022,TfW Rail,"760,858",61.3,79.8,97.6,"2,789,416",62.9,80.5,97.5
Jul to Sep 2022,TfW Rail,"768,574",60.0,77.4,96.6,"2,893,702",60.4,78.5,97.2
Oct to Dec 2022,TfW Rail,"686,672",56.7,74.3,96.0,"2,902,284",60.3,78.1,97.1
Jan to Mar 2023,TfW Rail,"673,216",60.9,77.3,96.3,"2,889,321",59.8,77.2,96.7
Apr to Jun 2023,TfW Rail,"650,140",57.0,74.4,95.4,"2,778,603",58.7,75.9,96.1
Jul to Sep 2023,TfW Rail,"756,781",60.3,77.1,95.9,"2,766,809",58.8,75.8,95.9
Oct to Dec 2023,TfW Rail,"776,015",56.2,73.4,94.9,"2,856,152",58.6,75.5,95.6
Jan to Mar 2024,TfW Rail,"884,418",66.2,83.1,97.9,"3,067,353",60.3,77.3,96.1
Apr to Jun 2024,TfW Rail,"996,567",65.1,82.2,97.7,"3,413,780",62.3,79.3,96.7
Jul to Sep 2024,TfW Rail,"1,062,148",61.0,79.3,97.4,"3,719,148",62.3,79.7,97.1
Oct to Dec 2024,TfW Rail,"985,471",57.1,76.1,96.6,"3,928,603",62.2,80.1,97.4
Jan to Mar 2025,TfW Rail,"1,032,541",65.7,82.8,97.9,"4,076,727",62.2,80.1,97.4
Apr to Jun 2025 [p],TfW Rail,"1,008,380",68.9,83.7,97.6,"4,088,540",63.2,80.5,97.4
Jul to Sep 2025 [p],TfW Rail,"1,055,245",69.3,84.1,97.7,"4,081,636",65.3,81.8,97.5
Apr to Jun 2014,TransPennine Express,"171,464",49.2,73.2,96.3,"639,939",48.9,72.6,96.4
Jul to Sep 2014,TransPennine Express,"182,339",42.3,67.1,95.4,"663,815",46.7,70.8,96.0
Oct to Dec 2014,TransPennine Express,"181,266",36.0,59.4,94.3,"689,928",44.4,68.5,95.7
Jan to Mar 2015,TransPennine Express,"178,195",46.9,72.5,96.9,"713,264",43.5,68.0,95.7
Apr to Jun 2015,TransPennine Express,"183,830",49.7,74.3,96.9,"725,630",43.7,68.3,95.9
Jul to Sep 2015,TransPennine Express,"186,225",46.2,70.8,96.9,"729,515",44.7,69.2,96.3
Oct to Dec 2015,TransPennine Express,"177,385",34.0,56.8,92.8,"725,635",44.3,68.7,95.9
Jan to Mar 2016,TransPennine Express,"178,828",45.7,70.8,96.7,"726,268",44.0,68.3,95.8
Apr to Jun 2016,TransPennine Express,"186,192",50.0,74.6,97.3,"728,630",44.1,68.4,96.0
Jul to Sep 2016,TransPennine Express,"189,259",48.9,73.4,97.1,"731,664",44.8,69.0,96.0
Oct to Dec 2016,TransPennine Express,"184,204",40.5,64.0,95.4,"738,482",46.3,70.7,96.6
Jan to Mar 2017,TransPennine Express,"184,960",50.3,74.8,97.2,"744,614",47.4,71.7,96.8
Apr to Jun 2017,TransPennine Express,"188,451",51.4,75.4,97.3,"746,873",47.8,71.9,96.7
Jul to Sep 2017,TransPennine Express,"190,329",50.2,74.2,97.3,"747,943",48.1,72.2,96.8
Oct to Dec 2017,TransPennine Express,"186,092",38.3,60.7,94.3,"749,831",47.6,71.3,96.5
Jan to Mar 2018,TransPennine Express,"183,509",45.9,68.9,95.4,"748,381",46.5,69.9,96.1
Apr to Jun 2018,TransPennine Express,"211,124",39.4,60.7,93.4,"771,054",43.3,66.0,95.1
Jul to Sep 2018,TransPennine Express,"244,610",33.3,53.9,92.4,"825,336",38.8,60.5,93.7
Oct to Dec 2018,TransPennine Express,"241,087",32.0,51.5,91.8,"880,330",37.0,58.0,93.1
Jan to Mar 2019,TransPennine Express,"251,298",43.5,66.4,95.9,"948,119",37.0,58.1,93.4
Apr to Jun 2019,TransPennine Express,"260,208",45.5,68.8,96.3,"997,204",38.7,60.4,94.2
Jul to Sep 2019,TransPennine Express,"261,645",40.8,62.9,94.0,"1,014,238",40.6,62.6,94.6
Oct to Dec 2019,TransPennine Express,"242,266",33.9,53.7,91.1,"1,015,417",41.0,63.1,94.4
Jan to Mar 2020,TransPennine Express,"248,191",43.6,63.0,94.1,"1,012,310",41.0,62.2,93.9
Apr to Jun 2020,TransPennine Express,"156,414",78.1,92.1,99.0,"908,515",46.1,65.5,94.1
Jul to Sep 2020,TransPennine Express,"204,735",70.4,87.5,98.7,"851,606",53.6,71.6,95.3
Oct to Dec 2020,TransPennine Express,"204,065",66.0,84.6,98.2,"813,405",62.6,80.2,97.2
Jan to Mar 2021,TransPennine Express,"164,972",70.5,86.7,97.8,"730,186",70.8,87.5,98.4
Apr to Jun 2021,TransPennine Express,"222,016",72.1,88.2,98.5,"795,788",69.8,86.8,98.3
Jul to Sep 2021,TransPennine Express,"224,779",66.0,84.6,98.2,"815,831",68.6,86.0,98.2
Oct to Dec 2021,TransPennine Express,"218,665",53.0,73.7,96.4,"830,432",65.1,83.1,97.7
Jan to Mar 2022,TransPennine Express,"183,156",60.1,79.5,97.0,"848,615",63.0,81.6,97.6
Apr to Jun 2022,TransPennine Express,"167,473",58.4,77.9,96.6,"794,073",59.4,79.0,97.1
Jul to Sep 2022,TransPennine Express,"175,548",55.8,75.1,95.6,"744,842",56.6,76.4,96.4
Oct to Dec 2022,TransPennine Express,"149,849",46.5,66.9,94.1,"676,026",55.5,75.2,95.9
Jan to Mar 2023,TransPennine Express,"164,042",47.4,68.2,93.9,"656,912",52.2,72.2,95.1
Apr to Jun 2023,TransPennine Express,"193,160",50.6,70.2,94.2,"682,599",50.3,70.3,94.5
Jul to Sep 2023,TransPennine Express,"220,780",48.4,68.6,94.6,"727,831",48.4,68.6,94.2
Oct to Dec 2023,TransPennine Express,"236,853",40.0,59.7,92.1,"814,835",46.3,66.3,93.6
Jan to Mar 2024,TransPennine Express,"248,799",52.1,73.0,96.3,"899,592",47.7,67.8,94.3
Apr to Jun 2024,TransPennine Express,"243,680",53.0,73.4,96.2,"950,112",48.5,68.8,94.8
Jul to Sep 2024,TransPennine Express,"270,471",49.6,70.0,95.1,"999,804",48.8,69.1,95.0
Oct to Dec 2024,TransPennine Express,"261,188",43.3,63.8,94.1,"1,024,139",49.4,70.0,95.4
Jan to Mar 2025,TransPennine Express,"265,230",47.5,68.4,95.1,"1,040,570",48.3,68.8,95.1
Apr to Jun 2025 [p],TransPennine Express,"273,557",49.9,70.1,95.2,"1,070,446",47.6,68.1,94.9
Jul to Sep 2025 [p],TransPennine Express,"271,138",48.4,68.7,94.9,"1,071,113",47.3,67.8,94.8
Apr to Jun 2014,West Midlands Trains,"1,120,594",64.3,85.2,99.1,"4,412,884",58.7,79.9,98.4
Jul to Sep 2014,West Midlands Trains,"1,122,465",61.9,83.4,98.9,"4,411,645",59.1,80.5,98.5
Oct to Dec 2014,West Midlands Trains,"1,069,736",54.0,76.5,98.2,"4,400,157",59.8,81.4,98.7
Jan to Mar 2015,West Midlands Trains,"1,114,516",62.6,83.5,98.8,"4,427,311",60.8,82.2,98.8
Apr to Jun 2015,West Midlands Trains,"1,129,010",63.4,84.0,98.8,"4,435,727",60.5,81.9,98.7
Jul to Sep 2015,West Midlands Trains,"1,148,727",62.7,83.7,98.8,"4,461,989",60.8,82.0,98.7
Oct to Dec 2015,West Midlands Trains,"1,097,642",55.4,77.6,98.5,"4,489,895",61.1,82.2,98.7
Jan to Mar 2016,West Midlands Trains,"1,115,413",63.2,84.0,98.9,"4,490,792",61.2,82.3,98.8
Apr to Jun 2016,West Midlands Trains,"1,142,217",64.9,85.4,99.0,"4,503,998",61.6,82.7,98.8
Jul to Sep 2016,West Midlands Trains,"1,161,490",62.7,84.2,99.1,"4,516,762",61.6,82.8,98.9
Oct to Dec 2016,West Midlands Trains,"1,106,055",55.9,78.3,98.3,"4,525,175",61.7,83.0,98.8
Jan to Mar 2017,West Midlands Trains,"1,124,920",63.0,84.1,99.0,"4,534,682",61.7,83.0,98.9
Apr to Jun 2017,West Midlands Trains,"1,145,510",66.4,86.4,99.1,"4,537,975",62.0,83.3,98.9
Jul to Sep 2017,West Midlands Trains,"1,159,819",64.3,85.2,99.0,"4,536,304",62.5,83.5,98.9
Oct to Dec 2017,West Midlands Trains,"1,097,792",54.1,76.0,97.9,"4,528,041",62.0,83.0,98.8
Jan to Mar 2018,West Midlands Trains,"1,112,395",59.0,80.2,98.5,"4,515,515",61.1,82.0,98.6
Apr to Jun 2018,West Midlands Trains,"1,152,898",61.0,82.3,98.8,"4,522,903",59.7,81.0,98.6
Jul to Sep 2018,West Midlands Trains,"1,177,182",59.7,81.4,98.5,"4,540,266",58.5,80.0,98.4
Oct to Dec 2018,West Midlands Trains,"1,147,539",53.4,76.6,98.3,"4,590,013",58.3,80.1,98.5
Jan to Mar 2019,West Midlands Trains,"1,163,353",62.5,84.4,99.1,"4,640,972",59.2,81.2,98.7
Apr to Jun 2019,West Midlands Trains,"1,231,866",58.9,81.0,98.7,"4,719,940",58.6,80.8,98.7
Jul to Sep 2019,West Midlands Trains,"1,273,599",52.5,75.0,97.6,"4,816,357",56.7,79.2,98.4
Oct to Dec 2019,West Midlands Trains,"1,170,889",45.0,67.1,95.9,"4,839,707",54.7,76.9,97.9
Jan to Mar 2020,West Midlands Trains,"1,201,731",54.7,76.4,98.1,"4,878,085",52.8,75.0,97.6
Apr to Jun 2020,West Midlands Trains,"768,626",79.7,93.4,99.4,"4,414,845",55.8,76.5,97.6
Jul to Sep 2020,West Midlands Trains,"976,191",73.0,89.7,99.0,"4,117,438",60.9,80.1,97.9
Oct to Dec 2020,West Midlands Trains,"1,039,844",68.8,87.5,99.0,"3,986,393",67.7,85.8,98.8
Jan to Mar 2021,West Midlands Trains,"956,710",77.6,92.0,99.3,"3,741,371",74.4,90.4,99.2
Apr to Jun 2021,West Midlands Trains,"1,030,178",72.8,88.9,98.9,"4,002,923",73.0,89.5,99.0
Jul to Sep 2021,West Midlands Trains,"1,018,582",67.8,85.5,98.8,"4,045,313",71.7,88.4,99.0
Oct to Dec 2021,West Midlands Trains,"1,022,347",59.3,79.4,97.8,"4,027,817",69.3,86.4,98.7
Jan to Mar 2022,West Midlands Trains,"1,015,567",65.1,84.7,98.8,"4,086,674",66.3,84.6,98.6
Apr to Jun 2022,West Midlands Trains,"1,013,816",63.5,83.4,98.5,"4,070,312",63.9,83.3,98.5
Jul to Sep 2022,West Midlands Trains,"1,022,704",56.8,77.7,97.9,"4,074,434",61.2,81.3,98.3
Oct to Dec 2022,West Midlands Trains,"897,354",51.7,73.4,97.4,"3,949,440",59.5,80.0,98.2
Jan to Mar 2023,West Midlands Trains,"996,381",61.4,81.4,98.4,"3,930,254",58.5,79.1,98.1
Apr to Jun 2023,West Midlands Trains,"1,029,571",63.7,82.4,98.3,"3,946,009",58.6,78.9,98.0
Jul to Sep 2023,West Midlands Trains,"1,026,039",62.6,82.4,98.5,"3,949,345",60.1,80.1,98.2
Oct to Dec 2023,West Midlands Trains,"1,030,670",57.1,77.7,97.7,"4,082,662",61.2,81.0,98.2
Jan to Mar 2024,West Midlands Trains,"1,070,318",65.5,84.1,98.5,"4,156,599",62.3,81.7,98.3
Apr to Jun 2024,West Midlands Trains,"1,070,418",66.0,83.8,98.1,"4,197,446",62.9,82.0,98.2
Jul to Sep 2024,West Midlands Trains,"1,128,001",63.8,82.4,98.2,"4,299,407",63.2,82.0,98.2
Oct to Dec 2024,West Midlands Trains,"1,082,045",58.0,77.7,97.8,"4,350,782",63.3,82.0,98.2
Jan to Mar 2025,West Midlands Trains,"1,137,478",69.5,86.2,98.7,"4,417,942",64.4,82.6,98.2
Apr to Jun 2025 [p],West Midlands Trains,"1,156,906",68.7,85.0,98.4,"4,504,430",65.1,82.9,98.3
Jul to Sep 2025 [p],West Midlands Trains,"1,158,971",66.6,83.4,98.2,"4,535,400",65.8,83.2,98.3
,,,,,,,,,
