"Table 3133: Train punctuality at recorded station stops by operator, Great Britain, quarterly data, April 2014 to September 2025",,,,,,,,,
This worksheet contains one table.,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [p] = provisional data",,,,,,,,,
Time period,National or Operator,"Number of recorded
station stops",Trains arriving within 59 seconds (percentage),"Trains arriving within 3 minutes 
(percentage)",Trains arriving within 15 minutes (percentage),"Moving annual total number of recorded
station stops",Moving annual average of trains arriving within 59 seconds  (percentage),Moving annual average of trains arriving within 3 minutes (percentage),Moving annual average of trains arriving within 15 minutes (percentage)
Jul to Sep 2015,c2c,"377,661",86.8,97.2,99.8,"1,484,558",86.8,97.1,99.8
Oct to Dec 2015,c2c,"382,336",81.8,95.1,99.7,"1,496,895",86.0,96.7,99.8
Jan to Mar 2016,c2c,"418,461",81.4,95.1,99.8,"1,545,449",84.4,96.2,99.8
Apr to Jun 2016,c2c,"416,751",83.8,95.6,99.6,"1,595,210",83.4,95.7,99.7
Jul to Sep 2016,c2c,"427,947",81.3,94.3,99.6,"1,645,496",82.1,95.0,99.7
Oct to Dec 2016,c2c,"416,200",75.2,91.9,99.6,"1,679,359",80.4,94.2,99.7
Jan to Mar 2017,c2c,"411,647",84.5,95.5,99.5,"1,672,545",81.2,94.3,99.6
Apr to Jun 2017,c2c,"403,924",81.8,95.1,99.8,"1,659,718",80.7,94.2,99.6
Jul to Sep 2017,c2c,"418,912",84.2,95.8,99.8,"1,650,684",81.4,94.5,99.7
Oct to Dec 2017,c2c,"412,806",84.7,96.6,99.9,"1,647,290",83.8,95.7,99.8
Jan to Mar 2018,c2c,"399,749",83.6,95.0,99.5,"1,635,391",83.6,95.6,99.7
Apr to Jun 2018,c2c,"404,227",83.2,95.2,99.6,"1,635,694",83.9,95.7,99.7
Jul to Sep 2018,c2c,"415,865",79.5,93.6,99.5,"1,632,646",82.8,95.1,99.6
Oct to Dec 2018,c2c,"409,525",81.7,95.3,99.8,"1,629,365",82.0,94.8,99.6
Jan to Mar 2019,c2c,"401,119",85.7,96.2,99.7,"1,630,735",82.5,95.1,99.7
Apr to Jun 2019,c2c,"406,370",86.3,96.3,99.8,"1,632,878",83.2,95.3,99.7
Jul to Sep 2019,c2c,"408,282",82.6,95.1,99.7,"1,625,295",84.0,95.7,99.7
Oct to Dec 2019,c2c,"407,997",80.1,93.9,99.7,"1,623,767",83.6,95.4,99.7
Jan to Mar 2020,c2c,"398,255",81.1,94.6,99.8,"1,620,903",82.5,95.0,99.7
Apr to Jun 2020,c2c,"305,627",88.9,97.3,99.9,"1,520,160",82.8,95.1,99.7
Jul to Sep 2020,c2c,"398,366",82.3,95.7,99.8,"1,510,245",82.7,95.2,99.8
Oct to Dec 2020,c2c,"360,386",82.6,94.7,99.7,"1,462,633",83.4,95.5,99.8
Jan to Mar 2021,c2c,"307,819",86.9,95.7,99.6,"1,372,198",84.9,95.8,99.7
Apr to Jun 2021,c2c,"345,437",86.3,96.2,99.6,"1,412,008",84.4,95.5,99.7
Jul to Sep 2021,c2c,"359,435",83.6,95.2,99.7,"1,373,077",84.8,95.4,99.6
Oct to Dec 2021,c2c,"328,292",78.7,94.3,99.8,"1,340,983",83.9,95.3,99.7
Jan to Mar 2022,c2c,"336,795",85.1,95.5,99.8,"1,369,959",83.5,95.3,99.7
Apr to Jun 2022,c2c,"337,739",81.6,94.2,99.6,"1,362,261",82.3,94.8,99.7
Jul to Sep 2022,c2c,"354,396",73.6,90.4,99.5,"1,357,222",79.7,93.6,99.6
Oct to Dec 2022,c2c,"313,847",74.2,91.4,99.6,"1,342,777",78.6,92.9,99.6
Jan to Mar 2023,c2c,"346,475",81.8,94.8,99.6,"1,352,457",77.8,92.7,99.6
Apr to Jun 2023,c2c,"352,819",80.2,93.6,99.6,"1,367,537",77.5,92.6,99.6
Jul to Sep 2023,c2c,"359,041",80.7,94.1,99.7,"1,372,182",79.4,93.5,99.6
Oct to Dec 2023,c2c,"338,900",76.3,91.9,99.4,"1,397,235",79.8,93.6,99.6
Jan to Mar 2024,c2c,"351,060",81.3,93.9,99.5,"1,401,820",79.7,93.4,99.5
Apr to Jun 2024,c2c,"356,239",81.4,93.8,99.4,"1,405,240",80.0,93.4,99.5
Jul to Sep 2024,c2c,"402,458",79.9,93.7,99.6,"1,448,657",79.8,93.3,99.5
Oct to Dec 2024,c2c,"382,687",78.0,92.8,99.5,"1,492,444",80.1,93.5,99.5
Jan to Mar 2025,c2c,"388,376",79.1,92.8,99.2,"1,529,760",79.6,93.3,99.4
Apr to Jun 2025 [p],c2c,"397,158",80.7,93.7,99.5,"1,570,680",79.4,93.2,99.5
Jul to Sep 2025 [p],c2c,"401,512",73.6,90.4,99.5,"1,569,734",77.8,92.4,99.5
